Longitude,Latitude
41.6628642,-0.8807110
41.6629675,-0.8806358
41.6630548,-0.8805555
41.6630996,-0.8805037
41.6631330,-0.8804264
41.6631574,-0.8803360
41.6631683,-0.8802707
41.6631647,-0.8802330
41.6631447,-0.8801659
41.6630703,-0.8799698
41.6629792,-0.8797714
41.6629314,-0.8796897
41.6628990,-0.8796503
41.6628513,-0.8796091
41.6627960,-0.8795789
41.6627299,-0.8795507
41.6626903,-0.8795406
41.6626152,-0.8795395
41.6621380,-0.8795282
41.6619916,-0.8795293
41.6617496,-0.8795172
41.6617235,-0.8795044
41.6617021,-0.8794864
41.6616689,-0.8794418
