Longitude,Latitude
41.661225914062385,-0.8846632742786404
41.66118182942003,-0.8843843245410915
41.66110568314846,-0.8838264250659945
41.66106159842377,-0.883316805353165
41.66103755219757,-0.8822385573291784
41.66103354449234,-0.8820239806079879
41.660977436592844,-0.8818210547322048
41.660837166630245,-0.8816815798634304
41.66074899678301,-0.8816574399822965
41.66068286931841,-0.8816252534741177
41.66061273405444,-0.8815662448757902
41.66056063352323,-0.8814991896504181
41.660510536818805,-0.881399947916867
41.660483484582215,-0.8813494469502585
41.66037039127815,-0.8812110408729783
41.66024615101273,-0.881229816336083
41.65984900637895,-0.8812955304569482
41.65959551385316,-0.8813357635921725
41.65939913160571,-0.8813706323093664
41.65916546237969,-0.8814056442718291
41.65900615127319,-0.8814338074664856
41.65880337607928,-0.8814673350791723
41.65860398552388,-0.8814968393783369
41.658332118679795,-0.8815410958270834
41.65820887645228,-0.8815638946037101
41.658038541278046,-0.8815907166938597
41.65798643866418,-0.8815853522758299
41.65791730243839,-0.8815652357082182
41.65788323528537,-0.8815384136180682
41.65784015033071,-0.881480746124248
41.657815100925234,-0.8814217375259203
41.657792055463545,-0.8813171313743394
41.657748970447926,-0.8811052368621618
41.657697869578044,-0.8808343337516558
41.65765779043602,-0.8807887361984025
41.65761871324858,-0.8807713018398058
41.65757162019625,-0.8807833717803728
41.6574728309925,-0.8808574468178917
41.65714017219588,-0.8811001867337421
41.65707846762527,-0.8811470030881726
41.65706443979349,-0.8812033294774854
41.657144598791064,-0.8815305589773024
41.657144598791035,-0.8816007574163637
41.65710552129218,-0.8816852470003329
41.65685702792416,-0.8819145758711076
41.656697114320906,-0.8820535083956852
41.65657887894301,-0.8821581145472672
41.656724168147974,-0.8824370642848172
41.65682737338415,-0.8827066262908146
41.65701276951637,-0.8831962041732274
41.65719112329316,-0.8836701169785457
