itemName,longitude,latitude,description
Canterburi,41.67000097729712,-0.8887067200002314,description 1
Bar Kiko,41.6681416341373,-0.890122926360095,description 1
Antiguo Bar la Jota,41.675210057908544,-0.8923545242604858,description 1
Flahertys Irish Bar Zaragoza,41.67155573164223,-0.8927836777028688,description 1
Cafe Pub Alcatraz,41.65356341086098,-0.8820119262990601,description 1
Bar Taberna Fausto,41.65316259259012,-0.8841362358388553,description 1
Pub MYTHOS,41.65070953043207,-0.8818617225942265,description 1
Marisqueria Bar Belanche,41.65096606418177,-0.8782997490224491,description 1
bar el 38 zaragoza,41.65011629222309,-0.878879106169666,description 1
El Bedel,41.65470172114996,-0.8790722252187378,description 1
Cafe Belice,41.656785899118745,-0.8845439316091189,description 1
Taberna El Lince,41.65518269128262,-0.8846297622975954,description 1
Bar Cervino,41.65202425510057,-0.9024396301564835,description 1
BAR ENTALTO,41.64686318651957,-0.8917946571008359,description 1
El Trujas,41.642501696090875,-0.891108011593024,description 1
Cafe Praga,41.645003175236894,-0.8965153449670473,description 1
Bodegas Almau,41.64436177958561,-0.8875031226770081,description 1
La Pascualilla,41.6447786874852,-0.8936118537084261,description 1
