itemName,longitude,latitude,description
100 montaditos,41.671619844417364,-0.8888140083608272,description 1
Restaurante Casa Juanico,41.64984372148456,-0.8806815506276738,description 1
Restaurante Duran5,41.64955511591609,-0.9018817306813869,description 1
La Mafia se sienta a la mesa 1,41.651414995785444,-0.9052291275319727,description 1
La Mafia se sienta a la mesa 2,41.6561650281418,-0.8882271220021328,description 1
Restaurante La Paz,41.650874239836924,-0.8910595347218598,description 1
Restaurante la Matilde,41.65286234459268,-0.8867250849537938,description 1
Restaurante El Allar,41.649527424334025,-0.8825622965626795,description 1
Restaurante El Rincon de Talamantes,41.65438544785266,-0.8804239054255564,description 1
Restaurante Sakura,41.673950194498246,-0.8949608555487194,description 1
Sakura,41.64695404808086,-0.8994240513495007,description 1
Sakura,41.651122837949515,-0.8964199772528209,description 1
Aura Restaurante,41.64868573201156,-0.884103273456434,description 1
Restaurante Ciclon,41.65134730359614,-0.8874077549627819,description 1
Restaurante Las Palomas,41.65541961593249,-0.8916992893866094,description 1
La Comidilla,41.65308421338784,-0.8912367576257383,description 1
